positionId,warehouse,product,eventTime
1,W-7,P-1,1612189712332
2,W-2,P-2,1612189712332
3,W-2,P-3,1612189712332
4,W-5,P-4,1612189712332
5,W-3,P-5,1612189712332
6,W-3,P-6,1612189712332
7,W-3,P-7,1612189712332
8,W-6,P-8,1612189712332
9,W-4,P-9,1612189712332
10,W-5,P-10,1612189712332
11,W-7,P-11,1612189712332
12,W-7,P-12,1612189712332
13,W-2,P-13,1612189712332
14,W-7,P-14,1612189712332
15,W-2,P-15,1612189712332
16,W-5,P-16,1612189712332
17,W-6,P-17,1612189712332
18,W-2,P-18,1612189712332
19,W-3,P-19,1612189712332
20,W-4,P-20,1612189712332
